date,Qw,Qs
329,403.4197183099,0.9456178581
330,395.1845070423,0.9219080521
331,386.2591549296,0.8895615201
332,395.1845070423,0.9219080521
333,386.2591549296,0.8895615201
334,377.9492957746,0.8457834175
335,368.9070422535,0.7848426787
336,359.6535211268,0.7152439543
337,352.8225352113,0.6729904332
338,346.6816901408,0.6396128089
339,337.9492957746,0.5997137922
340,329.6957746479,0.5220629817
341,324.4704225352,0.4766736646
342,320.3014084507,0.4357488706
343,316.5408450704,0.3706412437
344,316.4563380282,0.3577791656
345,312.8788732394,0.3411966516
346,312.5690140845,0.3317361148
347,312.7943661972,0.3157382408
348,313.6394366197,0.2977738507
349,314.2309859155,0.2848161042
350,315.1323943662,0.2737079458
351,314.8084507042,0.261058464
352,318.2873239437,0.261696253
353,320.3718309859,0.2629186819
354,323.2169014085,0.2626529365
355,325.0901408451,0.2606864204
356,324.2873239437,0.2584010098
357,323.3718309859,0.2546008504
358,322.2873239437,0.2498546373
359,321.3577464789,0.2470589955
360,321.8084507042,0.2453422801
361,321.8225352113,0.2432535211
362,321.8507042254,0.2410956683
363,321.9352112676,0.2393576933
364,321.9915492958,0.2369181504
365,321.9352112676,0.2339311719
366,321.9492957746,0.2306040393
